ID,MONTHS_BALANCE,STATUS
5060171,-5,0
5017340,-16,C
5122033,-38,C
5067243,-16,0
5115418,-8,C
5029060,-15,C
5116043,-27,C
5125856,-38,C
5068523,-30,0
5010703,-11,C
5005071,-1,C
5054656,-17,0
5068905,-28,X
5150401,-9,X
5004658,-14,C
5096084,-29,C
5003777,-5,0
5023589,-30,X
5118196,-24,X
5117298,-44,0
5113419,-15,0
5088862,-10,C
5004163,-34,C
5050573,-34,C
5122154,-9,C
5116799,-28,X
5003334,-8,C
5022965,-13,0
5010058,-36,C
5016305,-1,0
5061404,-3,0
5002411,-3,C
5137163,-12,0
5090568,-52,C
5105293,-38,0
5017022,-49,0
5120483,-15,X
5137106,-37,X
5011195,-14,0
5024966,-9,C
5125162,-21,0
5004218,-25,C
5061810,-56,0
5142779,-15,C
5025843,-34,0
5143296,-41,X
5078393,-17,C
5068306,-5,X
5091639,-42,0
5061495,-23,0
5012323,-36,C
5143479,-3,X
5091759,-26,C
5100224,-36,0
5022299,-32,X
5146511,-14,0
5118276,-16,0
5062115,-32,C
5117062,-37,0
5142118,-22,C
5121834,-10,X
5105896,-19,X
5121012,-8,C
5091626,-1,C
5011764,-8,0
5021657,-20,X
5118325,-3,X
5061642,-17,0
5113744,-3,C
5090983,-33,0
5050963,-28,C
5011678,-15,X
5017022,-53,0
5117579,-37,0
5012404,-2,X
5065609,-36,C
5078725,-7,C
5002758,-1,C
5011897,-11,0
5067267,-21,X
5115821,-1,0
5012170,-13,X
5028852,-33,C
5113778,-52,C
5029654,-32,X
5067018,-30,C
5062274,-30,X
5038631,-9,0
5022131,-7,C
5002983,-18,C
5025137,0,X
5126097,-11,0
5067692,-1,0
5096710,-34,X
5106164,-12,0
5009804,-3,C
5088321,-22,X
5062030,-37,X
5036735,-5,C
5018276,-6,0
5149865,-18,0
5060125,-7,0
5003854,-16,0
5053533,-5,C
5114000,0,C
5068157,-18,C
5011010,-10,0
5146205,-1,X
5046413,-3,0
5003922,-29,0
5142591,-6,C
5011402,-24,X
5089463,-9,C
5122323,-8,C
5095006,-14,X
5012701,-53,0
5105497,-8,C
5051250,-19,C
5090879,-12,C
5148448,-2,C
5004803,-43,C
5061165,0,C
5148710,-16,0
5005728,-13,0
5096821,-41,0
5090990,-24,C
5024560,-6,X
5117233,-5,C
5135905,-29,X
5118226,-13,C
5022299,-13,X
5004655,-5,C
5125569,-20,C
5148489,-1,1
5036774,-13,X
5004424,-5,0
5067724,-17,C
5022866,-14,0
5002085,-5,C
5016740,-42,X
5091500,-1,X
5090776,-26,0
5149244,-5,0
5079042,-3,0
5066676,-7,X
5003840,-50,0
5143535,-17,0
5011962,-42,C
5011737,-6,0
5037170,-16,C
5125718,-24,X
5016419,-35,X
5096573,-3,0
5060505,-1,C
5062727,-34,C
5116389,-17,X
5025223,-11,0
5117960,-21,0
5004294,-7,X
5024000,-6,X
5085994,-11,0
5100086,-4,0
5002485,-44,X
5112741,-3,C
5121364,-13,C
5003558,-21,C
5105059,-1,X
5001888,-38,0
5033472,-17,0
5121855,-15,C
5017150,-3,0
5004573,-27,X
5003803,-6,C
5004922,0,0
5024212,-24,X
5068790,-37,C
5126678,-28,0
5029673,-43,C
5010917,-5,X
5067317,0,0
5021190,-29,C
5018217,0,C
5002221,-24,C
5023508,-49,X
5096084,-20,C
5011608,-29,C
5067386,-19,0
5117281,-36,X
5054052,-24,C
5113869,-28,C
5120302,-23,C
5024958,-5,0
5142732,-20,C
5016389,-3,C
5145713,-8,0
5029652,-8,C
5061911,-20,C
5105173,-44,X
5068827,-18,X
5068889,-23,X
5024109,-11,C
5010667,-5,C
5002058,-37,C
5092347,-3,C
5033695,-17,X
5121030,-3,0
5085756,-14,C
5004603,-13,0
5016724,-26,0
5114512,-34,C
5021362,-2,0
5017808,-28,C
5004013,-49,0
5011835,-10,0
5002556,-29,0
5067024,-31,0
5025115,-6,C
5002035,-2,X
5089694,-43,0
5011500,-2,0
5091294,-50,0
5096086,-47,X
5120304,-40,0
5062738,-14,0
5003690,-48,0
5059995,0,C
5005830,-44,C
5004746,-34,X
5091063,0,X
5069490,-18,X
5066530,-41,0
5136012,-1,0
5024826,-27,0
5067023,-20,C
5089059,-27,C
5024633,-15,0
5096950,-20,C
5091382,-26,C
5024434,-19,C
5017371,-34,C
5121165,-1,X
5091673,0,C
5048168,-2,C
5004522,-38,0
5061474,-3,0
5137188,-12,0
5054660,-4,C
5025154,-15,0
5016443,-20,0
5117576,-18,C
5125268,-43,X
5085628,-28,0
5097134,-11,C
5126673,-40,0
5011812,-15,X
5022074,-6,X
5099787,-46,X
5009683,-39,0
5033592,-11,C
5026558,-19,0
5069465,-16,C
5005047,-10,C
5149100,-7,X
5042253,-12,C
5090492,-7,C
5105701,-25,X
5002793,-2,C
5061252,-14,0
5091621,-6,C
5143047,-29,C
5135777,-13,C
5011212,0,C
5061181,-26,0
5003046,-12,0
5114128,-18,0
5060642,-13,0
5091480,-31,0
5148731,-6,C
5053363,-49,0
5105460,-1,C
5010295,-3,C
5060566,-13,C
5120476,-16,0
5112662,-20,1
5003823,-3,0
5095008,-7,X
5010549,-2,X
5052796,-2,X
5091207,-13,X
5148787,-30,X
5035508,-28,C
5118260,-8,0
5012118,-33,X
5038817,-8,0
5117479,0,C
5096065,-46,0
5121209,-18,0
5068364,-24,C
5089626,-41,C
5053289,-43,0
5060967,-5,C
5036465,-40,C
5067664,-11,0
5121085,-13,0
5140105,-5,X
5120843,-8,X
5120941,-8,X
5036851,-12,C
5005504,-40,X
5041439,-30,C
5085901,-4,0
5004736,-15,0
5012394,-9,X
5012032,-18,C
5121473,-29,X
5093306,-17,0
5060983,-13,X
5113447,-35,C
5135695,-35,0
5053012,-51,X
5062366,-2,1
5023832,-20,C
5016792,-1,C
5033643,-5,0
5061961,-2,C
5125272,-27,X
5113921,0,0
5079144,-1,C
5137123,-43,X
5060633,-46,0
5142261,-6,C
5079077,-44,0
5118641,-25,X
5139364,-16,X
5010685,-8,C
5021251,-42,0
5122339,-13,C
5045783,-15,0
5060797,-27,C
5121138,-11,0
5060062,-14,C
5002750,-47,0
5042208,-17,C
5115767,-5,X
5010068,-25,0
5001743,-27,X
5085643,-12,C
5143148,-22,C
5059781,-4,C
5024801,-19,X
5005558,-7,0
5090335,-34,0
5003116,-16,C
5004960,-1,0
5048363,-36,C
5061925,-18,0
5078440,-10,C
5146456,-9,C
5001960,-7,X
5139881,-57,X
5090184,-20,C
5010164,-28,0
5041807,-44,0
5120049,-1,C
5135934,-34,C
5120078,-18,0
5142505,-18,C
5004437,-17,C
5017164,-7,C
5045076,-49,0
5095781,-1,C
5078787,-47,0
5149647,-30,X
5005525,-33,X
5028468,-19,X
5069034,-4,C
5062356,-20,C
5117978,-27,C
5135991,-9,5
5120793,-1,X
5028952,-4,0
5010368,-4,C
5143436,0,C
5011207,-35,C
5037019,-5,0
5113205,-5,0
5056167,-4,0
5121482,-27,0
5142464,-4,C
5149435,-22,0
5018152,-43,0
5011646,-9,C
5046035,-55,0
5091432,-4,C
5066777,-42,C
5068481,-20,X
5028416,-27,0
5095164,-15,X
5116051,-36,C
5059765,-4,0
5145882,0,C
5150403,-32,X
5021545,-38,0
5010372,-4,0
5149614,-15,0
5105735,-30,C
5118473,-28,0
5010370,-41,X
5146042,-32,0
5017095,-3,0
5137515,-4,C
5011091,-2,X
5060060,-31,0
5142313,-35,0
5029789,-40,C
5028953,-18,C
5050740,-7,C
5054536,-2,C
5045768,-2,C
5117413,-37,C
5056039,-20,C
5046510,-39,C
5113344,-5,1
5012413,-23,C
5078875,-22,C
5078687,-40,X
5002914,-22,C
5118467,-44,X
5143153,-24,X
5002795,-6,C
5142163,-27,0
5068076,-34,C
5048015,-20,X
5053725,-6,0
5066391,-32,X
5035419,-17,0
5066399,-23,C
5090167,-11,C
5054321,-37,C
5068475,-7,0
5067433,-2,C
5009401,-17,C
5028908,-25,C
5004786,-35,0
5093213,-4,0
5074803,-23,X
5090016,-4,C
5137207,-26,X
5121100,-9,0
5115401,-17,C
5062131,-22,0
5050980,-23,0
5091226,-27,C
5137048,-16,X
5092171,-17,0
5135495,-28,0
5060437,-14,X
5065480,-17,0
5024805,-26,1
5125542,-17,C
5061968,-6,X
5016783,-2,0
5099850,-17,0
5114573,-22,X
5002894,-8,C
5060344,-36,0
5115597,-45,X
5011906,-10,0
5054467,-31,C
5117529,-11,C
5121682,-38,C
5121919,-36,0
5116629,-27,C
5149894,-22,0
5009239,-10,0
5028891,-39,C
5003513,-26,0
5095344,-5,X
5024133,-16,0
5121954,-33,C
5038710,-41,0
5091819,-22,0
5001892,-18,C
5066388,-26,0
5120721,-5,C
5061901,-9,C
5069534,-44,0
5088181,-6,0
5005180,-5,C
5091259,-4,X
5009757,0,C
5053602,-17,C
5091139,-3,C
5091048,-22,0
5120366,-29,C
5050478,-42,C
5036846,-9,X
5017929,-3,0
5116160,-15,0
5012282,-46,C
5068248,0,0
5061579,0,X
5096879,-9,X
5120969,-5,X
5105920,-12,C
5091379,-18,0
5012439,-4,0
5002666,-11,C
5009303,-23,X
5053446,-9,0
5120154,-10,X
5011468,-24,C
5125321,-20,C
5037268,-27,X
5065355,-1,C
5116829,0,0
5095242,-9,0
5010632,-33,C
5018243,-6,0
5025081,-10,0
5053548,-16,C
5024843,-2,X
5089464,-35,0
5119962,-11,0
5058345,-18,C
5096510,-26,C
5004639,-35,0
5118312,-19,0
5061003,-34,C
5038652,-22,C
5142532,-31,0
5121618,-18,X
5121845,-21,0
5137445,-35,0
5036542,-19,C
5122241,0,C
5004975,-11,0
5095405,-41,C
5135505,-26,C
5011203,-23,X
5118424,-13,C
5149641,-7,C
5048534,-14,C
5136934,-35,0
5060456,-1,0
5145762,-2,0
5059783,-17,X
5145749,-24,C
5041628,-31,0
5142212,-2,X
5028732,-25,C
5142934,-7,C
5024643,-19,C
5106077,-3,0
5053659,-1,C
5113826,-32,0
5004385,-13,C
5090414,-7,X
5125932,-3,C
5010129,-21,C
5149677,-10,C
5120162,-6,X
5060040,-8,C
5003360,-19,X
5054269,-9,C
5114506,-4,C
5009682,-23,X
5044669,-5,0
5100438,-22,0
5067700,-48,X
5009954,-13,C
5003128,-2,C
5114074,-46,0
5137395,-19,C
5105673,-32,C
5003233,-14,0
5016633,-3,C
5067926,-27,0
5022201,-11,C
5029342,-47,0
5149041,-21,1
5003917,-25,C
5096418,-40,0
5092026,-32,X
5012263,-15,C
5033577,-12,C
5091649,-6,X
5017241,-55,0
5022453,-32,0
5095170,-16,C
5054268,-38,C
5062096,-11,C
5105497,-5,C
5003001,-33,0
5105523,-17,C
5105936,-19,C
5044709,-22,0
5112965,-23,C
5003965,-6,0
5033524,-16,C
5078919,-14,0
5052852,-36,C
5142207,-18,C
5125764,-22,C
5005529,-13,X
5079111,-21,0
5065632,-14,0
5022902,-13,C
5120801,-4,C
5091242,-39,0
5041531,-39,0
5046096,-4,C
5021688,-21,0
5054669,-8,X
5137519,-16,X
5056160,-13,X
5095423,-4,C
5058280,-24,C
5137309,-56,X
5115474,-9,C
5054670,-19,0
5111143,-32,X
5113671,-29,X
5149058,-30,0
5114232,-20,0
5012287,-23,C
5116247,-10,X
5068414,-7,C
5114212,0,X
5068608,-20,0
5044905,-20,C
5016244,-54,X
5142991,-22,0
5029158,-22,C
5148968,0,0
5122169,0,C
5058476,-1,X
5004571,-11,0
5060541,-2,X
5016842,-17,C
5016377,-10,0
5053338,-4,0
5010277,-20,0
5078414,-8,X
5095372,-11,C
5078813,-29,0
5117964,-21,C
5011913,-18,C
5061049,-11,0
5003928,-20,0
5038889,-40,X
5079036,-13,0
5003236,-4,X
5121392,0,X
5095794,-1,0
5146410,-23,0
5122189,-10,X
5136967,-1,0
5024791,-16,X
5012168,-16,X
5120395,-26,0
5011134,-3,0
5022186,-12,C
5139465,-2,C
5021973,-2,0
5002544,-20,X
5021463,-1,C
5100447,-8,C
5065583,-23,X
5061699,-28,C
5029535,-23,0
5113432,-1,0
5003865,-6,0
5012657,-1,C
5139761,-49,0
5001730,-21,C
5060680,-26,X
5017149,-8,0
5004096,-27,0
5095470,-18,C
5038728,-22,0
5096773,-28,0
5142763,-18,0
5017596,-16,C
5120391,-19,0
5042041,-35,C
5149801,-5,0
5091684,-13,X
5092372,-25,X
5135516,-6,C
5016548,-22,0
5011379,-51,X
5121400,-7,C
5067561,0,0
5125444,-1,0
5023261,-11,C
5053668,-7,C
5121693,-4,0
5121310,-8,C
5048634,-14,C
5012394,-11,X
5099848,-43,C
5018217,-10,C
5023520,0,X
5118068,-28,X
5024614,-20,C
5003824,-9,X
5100352,-47,X
5003727,-11,0
5062657,-2,C
5115777,-60,0
5149353,-2,0
5145944,-7,0
5125540,-30,0
5112662,-23,1
5046048,-5,0
5022668,-6,X
5009240,-31,C
5090293,-3,C
5090828,-43,C
5028776,-27,0
5146024,-54,X
5069209,-13,C
5089513,-20,C
5090318,-31,C
5140119,-8,0
5089492,-20,0
5113291,-14,C
5091753,-38,0
5119952,-10,C
5046170,-4,0
5053286,-8,0
5054313,-18,X
5105331,-22,0
5079039,-17,X
5066664,-53,0
5092170,-4,C
5120106,-40,0
5002729,-8,C
5002502,-47,1
5120702,-41,0
5148510,-14,C
5048372,-38,0
5017262,-46,C
5004823,-29,C
5041418,-24,X
5053568,-15,0
5119979,-8,C
5142777,-12,C
5149090,-18,C
5099993,-10,C
5068731,-20,X
5017081,-28,0
5022284,-11,X
5089692,-40,0
5002010,-4,0
5100351,-36,0
5061963,-8,0
5016828,-3,C
5142491,-1,X
5118537,-4,X
5061489,-40,0
5021372,-17,C
5088481,-32,0
5078907,-1,X
5024220,-43,X
5120688,-13,0
5045846,-30,0
5061594,-3,0
5052612,-14,X
5096346,-22,C
5122081,-15,C
5023476,-30,C
5087554,-27,0
5010975,-28,0
5091091,-39,X
5003868,-32,0
5092272,-27,0
5003283,-36,X
5042092,-6,X
5120662,-7,X
5023645,-17,C
5002977,-5,C
5089176,-17,X
5061381,0,0
5068855,-21,X
5116889,-53,0
5001838,-29,0
5022472,-30,0
5056228,-15,0
5091662,-23,C
5061091,-50,1
5061733,-19,X
5095796,-18,C
5002337,-12,X
5091375,0,0
5114461,-28,X
5105698,-20,X
5037257,-3,C
5036577,-50,C
5105701,-9,0
5003629,-40,C
5067154,-8,C
5090541,-20,C
5142622,-6,C
5139498,-3,C
5096238,-10,C
5088897,-19,C
5062457,-10,1
5112633,-30,C
5067633,-12,1
5022383,-17,X
5024981,-29,C
5137393,-13,C
5148965,-7,0
5067284,-12,X
5016457,-23,X
5028863,-22,C
5028728,-42,0
5126840,-13,C
5112911,-33,0
5105403,-26,X
5116396,-12,X
5011477,-17,0
5114193,-41,X
5054064,-24,0
5041177,-25,0
5005396,-10,X
5120249,-17,X
5002791,-10,0
5003689,-8,C
5028363,-10,C
5053397,-2,0
5117859,-27,0
5105128,-28,C
5069298,-38,0
5060059,-10,0
5009103,-7,C
5146034,-1,0
5001891,-42,0
5054536,-15,C
5004392,-27,0
5052974,-38,0
5136900,-36,X
5060007,-18,0
5068329,-5,C
5149489,-19,C
5002377,-6,X
5035740,-14,C
5046217,-53,C
5118418,-11,C
5092448,-20,C
5066895,-10,0
5092292,-19,C
5028788,-8,0
5126420,-2,C
5136935,-18,0
5113384,-5,C
5121205,-34,0
5096392,-4,C
5135377,-42,C
5047730,-16,X
5100384,-10,C
5022903,-32,0
5017699,-1,X
5066942,-1,C
5004071,-38,0
5003029,-7,X
5011168,-32,C
5099993,-23,C
5148529,-22,C
5054141,-16,C
5024005,-6,X
5121299,0,X
5085704,-14,0
5061191,-32,C
5061646,-18,0
5001794,-13,C
5003101,-48,0
5060308,-26,X
5029430,-8,0
5045513,-3,0
5105792,-17,0
5017869,-14,0
5142341,-16,0
5033628,-6,0
5028617,-27,0
5092022,-2,X
5023377,-28,C
5091878,-29,0
5116341,-38,0
5002156,-11,C
5036584,-37,C
5065420,-4,C
5145889,-17,C
5095615,-20,C
5017604,-40,C
5042039,-28,X
5045830,-4,C
5010537,-3,C
5009047,-5,0
5003510,-20,0
5033787,-30,C
5011422,-4,C
5016467,-23,X
5078529,-4,0
5054423,-29,0
5003713,-31,C
5059817,-10,0
5011815,-9,0
5118458,-27,X
5092230,-4,C
5036613,-2,X
5088130,-25,0
5067795,-39,X
5012657,-24,0
5118260,-17,0
5113771,-30,C
5126823,-20,C
5025175,0,C
5054080,-15,C
5112672,-28,C
5149517,-12,0
5022453,-45,X
5035738,-10,C
5122035,-20,X
5066574,-14,0
5029461,-9,C
5010913,-21,0
5001923,-43,0
5061189,-3,0
5017370,-39,C
5113048,0,C
5121447,-16,C
5011137,-14,X
5042198,-2,0
5061956,-33,C
5067191,-4,C
5009677,-29,C
5012297,-14,X
5041582,-36,X
5137404,-11,C
5089269,-9,C
5011013,-26,0
5002630,-3,X
5146551,-25,C
5062046,-4,X
5003492,-6,0
5010586,-33,C
5060112,-38,X
5010683,-7,C
5060991,-25,0
5059957,-29,C
5150071,-29,C
5068212,-32,X
5009897,-6,0
5003757,-7,0
5091968,-7,C
5132263,-14,C
5097133,-11,C
5089439,-20,C
5125946,-8,C
5112901,-14,C
5121187,-6,C
5054316,-4,X
5115980,-48,0
5017395,-7,C
5148832,-16,C
5028767,-17,X
5002087,-18,0
5038563,-33,0
5146510,-23,C
5116721,-10,X
5095725,-20,0
5116487,-18,0
5021861,-1,C
5005833,-38,C
5067556,-3,C
5078376,-5,X
5002706,-14,X
5033791,-40,0
5149286,-6,C
5068416,-6,C
5003373,-9,0
5010081,-56,X
5099828,-14,C
5047789,-6,C
5012368,-2,X
5016973,-34,C
5091967,-7,0
5117013,-22,0
5118293,-37,C
5050913,-19,C
5090940,-13,X
5078605,-31,X
5135500,-20,0
5143456,-4,0
5028867,-11,0
5029673,-5,C
5002156,-2,C
5132292,-12,0
5105646,-32,0
5120267,-10,0
5008868,-3,0
5112988,-22,0
5009990,-9,0
5004429,-8,0
5009810,-19,C
5116085,-26,X
5142978,-8,0
5011911,-11,C
5053367,-14,X
5121616,-53,0
5002864,-54,0
5012069,-22,0
5116885,-21,C
5088808,-8,C
5053124,-11,C
5121908,-9,C
5021544,-49,C
5002953,-46,0
5096606,-30,X
5002799,-33,C
5008951,-14,C
5117994,-1,C
5142327,-26,C
5062421,-9,C
5142361,-42,5
5079256,-11,X
5120171,-5,C
5116955,-19,C
5089418,-23,0
5060321,-45,C
5048399,-11,X
5022382,-41,X
5137061,-4,C
5126519,-21,C
5004046,-19,C
5052691,-10,0
5137448,-1,0
5016748,-16,C
5061272,-1,C
5024450,-3,C
5017523,-41,C
5116196,-25,X
5005163,-31,X
5048050,-3,C
5126672,0,C
5113844,-25,0
5100128,-40,C
5041606,-38,0
5017307,-32,0
5114507,-19,0
5036684,0,C
5095873,-44,X
5011026,-26,0
5106086,-23,0
5096179,-24,X
5142690,-42,C
5047727,-17,C
5069093,-32,0
5117667,-15,C
5117793,-27,0
5023325,-19,X
5117069,-9,0
5017247,-24,0
5089566,-31,C
5143329,-3,C
5069116,-44,C
5114223,-6,C
5117179,-31,X
5061892,-22,C
5053689,-6,C
5024870,-52,0
5150251,-6,0
5018383,-11,0
5100464,-23,0
5149435,-13,0
5002164,-5,C
5126137,-1,C
5061726,-5,C
5023070,-15,X
5023913,-20,C
5145912,-25,X
5024433,-26,C
5002865,-23,X
5085666,-13,C
5146042,-24,0
5011903,-22,C
5096362,-22,C
5002566,-33,C
5116674,-52,0
5028747,-45,X
5017048,-1,0
5142250,-1,0
5143502,-27,C
5067630,-47,0
5045830,-35,0
5037209,-1,X
5023919,-28,C
5143111,-5,X
5038587,-28,0
5058515,-2,X
5060637,-9,C
5104956,-7,C
5116910,-5,C
5041561,-17,X
5112923,-40,X
5096191,-15,X
5050477,-16,C
5011859,-38,C
5068188,-48,0
5033985,-27,0
5033667,-24,0
5061024,-5,C
5091455,-13,C
5149114,-6,C
5068034,-18,0
5122189,-2,X
5062600,-4,C
5029047,-20,0
5146293,-10,C
5001805,-22,0
5024674,-16,0
5024451,-5,C
5053211,-11,C
5042141,-25,C
5062564,-4,C
5042298,-24,0
5012392,-29,X
5090697,-1,C
5021471,-8,X
5029064,-23,0
5132814,-19,1
5089808,-16,C
5116807,0,X
5136963,0,X
5078569,-9,C
5113834,-15,0
5017652,-7,C
5105103,-16,X
5054459,-26,0
5095088,-39,1
5105847,-17,C
5119993,-8,C
5036573,-36,0
5143222,-37,C
5135422,-25,X
5002993,-22,0
5074653,-3,C
5036621,-11,0
5114131,-32,C
5005279,-10,0
5117204,-1,0
5088816,-5,0
5118085,-25,0
5139491,-24,0
5088192,-10,0
5116043,-37,0
5114642,-18,C
5003786,-10,0
5010120,-28,0
5003377,-19,C
5004569,-24,0
5004700,-29,C
5079171,-14,0
5024109,-40,C
5029338,-9,C
5004847,-21,X
5010797,-5,C
